task,nl_step
How to Create a Secret Candle Stash,"**Task**: How to Create a Secret Candle Stash

**Steps in Natural Language**:
1. Place the candle into your secret stash by hand, ensuring it remains hidden.
2. Move the candle from an open area to your secret stash for discreet storage.
3. Prepare the candle in the secret stash by organizing it and making it ready for use.
4. Add the candle to your secret stash, updating its status to keep your collection organized."
How to Melt Candles,"**Task**: How to Melt Candles

**Steps in Natural Language**:
1. Take the candle from the table and move it to the campfire.
2. Place the candle in the campfire until it is completely melted."
How to Make the Most from Your Old Candles,"**Task**: How to Make the Most from Your Old Candles

**Steps in Natural Language**:
1. Take the old candle from storage and place it on the table.
2. Put the old candle on the melting pot on the table to melt it.
3. Dry the melted candle on the table.
4. Use the melted candle wax on the table for reuse.
5. Cut the wick from the old candle.
6. Add the cut wick to the new candle.
7. Finish the new candle by allowing it to set and solidify."
How to Goddess Braid Natural Hair,"**Task**: How to Goddess Braid Natural Hair

**Steps in Natural Language**:
1. Brush your hair thoroughly to remove any tangles.
2. Divide your hair into sections based on the desired braid pattern.
3. Grab a small section of hair from one of the divided sections.
4. Further divide this small section to prepare it for braiding.
5. Braid the section of hair using the goddess braid technique.
6. Tie off the end of the braid securely to complete the hairstyle."
How to Braid String,"**Task**: How to Braid String

**Steps in Natural Language**:
1. Divide the string into three equal strands.
2. Grab a small section of one strand to begin the braid.
3. Split the small section into three thinner strands.
4. Begin braiding the three strands together.
5. Cross the strands over each other to maintain the braided pattern.
6. Tie the ends of the strands into a secure knot.
7. Continue braiding the string, using a tool if needed to keep the strands aligned.
8. Tie off the braid to finish it securely."
How to Make a Crown Braid,"**Task**: How to Make a Crown Braid  
**Steps in Natural Language**:
1. Brush your hair to remove any tangles.
2. Separate the top section of your hair at the crown of your head.
3. Grab a small section of hair from the separated crown area.
4. Further divide this small section where the crown is located.
5. Tie the strands of the divided section into a secure knot.
6. Add more hair to the strands to build the braid.
7. Tie the strands again to ensure the braid stays in place.
8. Finish the braid by securing it off at the end."
How to Thaw Frozen Fish,"**Task**: How to Thaw Frozen Fish  
**Steps in Natural Language**:
1. Use a microwave to thaw the frozen fish in a suitable thawing area.
2. Cool the fish in the designated location to ensure it is properly thawed and ready for cooking."
How to Plant a Plant,"**Task**: How to Plant a Plant

**Steps in Natural Language**:
1. Go to the location where you want to plant your plant.
2. Dig a hole in the selected spot using a shovel.
3. Place the plant into the hole you just dug.
4. Cover the plant with soil to secure it in the hole.
5. Water the plant thoroughly to help it establish."
How to Graft a Tree,"**Task**: How to Graft a Tree

**Steps in Natural Language**:
1. Move to the grafting site.
2. Dig a hole in the center of the rootstock plant at the grafting location.
3. Cut the rootstock plant at the designated spot.
4. Cut the scion plant at the grafting location.
5. Insert the budwood into the rootstock plant.
6. Tie the budwood securely to the rootstock plant.
7. Allow the rootstock plant to heal and set the budwood.
8. Trim the branch of the rootstock plant at the grafting site.
9. Remove the ties from the rootstock plant."
How to Apply a Steak Rub,"**Task**: How to Apply a Steak Rub  
**Steps in Natural Language**:
1. Select a chuck steak from the available options.
2. Choose the steak rub you want to apply.
3. Submerge the chuck steak in the steak rub to ensure it's fully coated.
4. Brush the steak to evenly distribute the rub across all surfaces."
